timestamp,junction,lat,lon,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,confidence,road_closure,timestamp_hour,precipitation_mm,rain_mm,temperature_c,windspeed_kmh,is_monsoon,hour,day_of_week,is_peak_hour,two wheeler,autorickshaw,car,bus,LCV,truck,bicycle,pedestrain,total_vehicles,pcu_density,festival_name,category,festival_impact,is_festival,is_ipl_season
2026-07-10 21:43:48.458304,Kathipara,13.0107,80.2016,22,27,202,164,1.0,False,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
2026-07-10 21:43:48.458304,Velachery_Junction,12.9791,80.2211,27,33,1592,1302,0.998479,False,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,2.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,12.0,12.3,,,0.0,0,0
2026-07-10 21:43:48.458304,Kelambakkam_OMR,12.7925,80.2183,51,51,1338,1338,1.0,False,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
2026-07-10 21:43:48.458304,Chromepet,12.9516,80.1462,28,38,2549,1878,1.0,False,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
2026-07-10 21:43:48.458304,Mylapore,13.0339,80.2698,16,17,471,443,0.711723,True,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
2026-07-10 21:43:48.458304,Perambur,13.1141,80.2417,19,25,1363,1036,0.995415,False,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
2026-07-10 21:43:48.458304,Thoraipakkam_OMR,12.9407,80.235,20,20,523,523,1.0,False,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
2026-07-10 21:43:48.458304,Perungudi_OMR,12.9634,80.2431,25,25,99,99,1.0,False,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
2026-07-10 21:43:48.458304,Tambaram,12.9249,80.1,28,28,966,966,1.0,False,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
2026-07-10 21:43:48.458304,Anna_Salai_Teynampet,13.0455,80.25,26,33,1618,1274,0.965813,True,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
2026-07-10 21:43:48.458304,Anna_Nagar_Roundtana,13.085,80.2101,15,15,66,66,1.0,False,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,2.0,0.0,5.0,0.0,2.0,1.0,0.0,2.0,12.0,12.0,,,0.0,0,0
2026-07-10 21:43:48.458304,Ashok_Nagar,13.0385,80.2107,35,35,2047,2047,1.0,False,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
2026-07-10 21:43:48.458304,Adyar_Signal,13.0064,80.257,16,24,720,480,0.95015,True,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
2026-07-10 21:43:48.458304,T_Nagar_Panagal,13.0418,80.2341,32,32,242,242,1.0,False,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
2026-07-10 21:43:48.458304,Egmore,13.0732,80.2609,18,25,2,1,1.0,False,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,3.0,,,0.0,0,0
2026-07-10 21:43:48.458304,Guindy,13.0067,80.2206,27,33,1592,1302,0.998479,False,2026-07-10 21:00:00,0.0,0.0,29.4,17.6,True,21,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
